Model,Average Score,Hallucination Rate (%),Limited_Count,Moderate_Count,Extensive_Count,NA_Count,NoResult_Count,InferenceFailed_Count,Samples_Evaluated
openai/gpt-5-nano,2.995,0.5,1,0,0,198,1,0,200
openai/gpt-5,2.975,2.5,5,0,0,195,0,0,200
x-ai/grok-4,2.960,4.0,8,0,0,192,0,0,200
perplexity/sonar-reasoning-pro,2.915,6.0,9,1,2,188,0,0,200
openai/gpt-oss-120b,2.920,7.5,14,1,0,185,0,0,200
openai/o1-mini,2.910,7.5,15,0,0,184,0,0,200
microsoft/phi-4,2.810,8.0,2,6,8,184,0,0,200
openai/o3,2.920,8.0,16,0,0,184,0,0,200
x-ai/grok-3-mini-beta,2.890,8.0,11,4,1,184,0,0,200
x-ai/grok-3-mini,2.890,8.5,12,5,0,183,0,0,200
deepseek/deepseek-chat,2.860,12.0,21,2,1,176,0,0,200
deepseek/deepseek-r1,2.865,12.0,21,3,0,176,0,0,200
x-ai/grok-3-beta,2.880,12.0,24,0,0,176,0,0,200
x-ai/grok-3,2.875,12.5,25,0,0,175,0,0,200
openai/o4-mini,2.865,13.5,27,0,0,173,0,0,200
openai/o3-mini,2.845,14.0,26,1,1,172,0,0,200
google/gemini-2.5-flash,2.840,14.5,27,1,1,171,0,0,200
openai/gpt-4,2.850,15.0,30,0,0,170,0,0,200
google/gemini-2.0-flash-lite-001,2.710,16.5,15,11,7,167,0,0,200
deepseek/deepseek-chat-v3-0324,2.800,17.0,30,2,2,166,0,0,200
openai/o3-mini-high,2.820,18.0,36,0,0,164,0,0,200
qwen/qwen3-14b,2.775,18.5,29,8,0,162,0,1,200
openai/gpt-4o-mini-search-preview,2.560,19.0,11,4,23,156,0,6,200
perplexity/r1-1776,2.775,20.0,35,5,0,160,0,0,200
openai/gpt-4.1-nano,2.615,23.5,24,16,7,153,0,0,200
mistralai/mistral-7b-instruct-v0.3,2.570,24.0,13,32,3,152,0,0,200
openai/gpt-4o,2.755,24.5,49,0,0,151,0,0,200
meta-llama/llama-3.3-70b-instruct,2.670,25.5,39,9,3,149,0,0,200
x-ai/grok-2-1212,2.715,27.5,54,0,1,145,0,0,200
anthropic/claude-3.7-sonnet:thinking,2.705,29.0,57,1,0,142,0,0,200
openai/gpt-oss-20b,2.700,29.5,58,1,0,129,0,12,200
deepseek/deepseek-r1-0528,2.670,31.5,60,3,0,137,0,0,200
nousresearch/hermes-3-llama-3.1-70b,2.595,31.5,45,18,0,137,0,0,200
google/gemini-2.5-pro,2.540,34.5,53,9,7,130,0,1,200
google/gemini-2.5-pro-preview,2.530,35.5,56,7,8,125,0,4,200
anthropic/claude-sonnet-4,2.635,36.5,73,0,0,127,0,0,200
perplexity/sonar,2.440,38.0,55,6,15,123,0,1,200
meta-llama/llama-4-scout,2.525,38.5,61,14,2,123,0,0,200
moonshotai/kimi-k2,2.610,38.5,76,1,0,123,0,0,200
anthropic/claude-3.5-sonnet,2.520,47.5,94,1,0,105,0,0,200
google/gemini-2.0-flash-001,2.380,48.0,68,28,0,104,0,0,200
openai/gpt-4.1,2.515,48.5,97,0,0,103,0,0,200
anthropic/claude-3.7-sonnet,2.465,53.5,107,0,0,93,0,0,200
deepseek/deepseek-chat-v3.1,2.395,53.5,99,2,6,93,0,0,200
google/gemini-2.5-flash-lite,2.390,53.5,98,3,6,93,0,0,200
meta-llama/llama-3-70b-instruct,2.190,53.5,59,41,7,93,0,0,200
openai/gpt-4o-mini,1.980,59.0,64,22,32,82,0,0,200
google/gemma-3-12b-it,1.940,64.5,54,67,8,68,0,3,200
google/gemma-3-4b-it,1.865,67.5,47,84,4,61,0,4,200
anthropic/claude-3.5-haiku,2.225,69.0,127,5,6,62,0,0,200
anthropic/claude-3-haiku:beta,2.180,69.5,122,9,8,61,0,0,200
meta-llama/llama-3.1-8b-instruct,1.850,70.5,56,81,4,58,0,1,200
google/gemma-3-27b-it,1.660,72.5,32,103,10,55,0,0,200
anthropic/claude-3-sonnet,1.975,73.0,99,35,12,54,0,0,200
mistralai/mistral-nemo,1.600,88.5,91,69,17,22,0,1,200
meta-llama/llama-3-8b-instruct,1.535,90.5,71,108,2,19,0,0,200
meta-llama/llama-3.2-3b-instruct,1.390,92.0,55,120,9,13,0,3,200
